Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Roger Hallam,https://rogerhallam.com/,"The Climate Situation is Beyond F**ked. 1000’s of millions of Climate Refugees, Economic Collapse & Human Extinction. Join me in a Global Revolution to change it.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704357598702-roger-square-icon.png?width=75&height=75&resize=contain,False,['climate'],4371,True,4K,True,2578217,False,,,,#ff751a,en,41636.108,8,True,278d8964-9968-4351-b6e7-320259263665,1702058595,1745917216
Ed’s Clean Energy and Sustainability Jobs List,https://edscleanenergysustainabilityjobs.com/,"A weekly list of climate, energy policy, ESG, clean energy and sustainability jobs and internships for people of all experience levels.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1745253265460-Logo-only-1.png?width=75&height=75&resize=contain,False,['climate'],26733,True,,False,44020428,False,,,,#097ad1,en,26733,58,True,9f9a7a00-b661-4133-86fc-e90a8b1db6d3,1717981088,1745807810
Empire of Dirt,https://empire-of-dirt.ghost.io/,A newsletter for people who love little places with big problems. Written by a climate reporter in the rural Catskills.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704257843037-444dfc65-ddf2-4fbc-a502-fc64bbaa5f7a_500x500.jpg?width=75&height=75&resize=contain,False,['climate'],818,True,388,True,10498733,False,,,,#5e1c1c,en,4698.2,0,True,6e6f99fb-d9db-4fd8-a45d-6d6034ea4ddd,1704257843,1704254703
ReFi DAO Media,https://blog.refidao.com/,The world of regenerative finance in your inbox.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670170898990-6319c4c1d0b248c635dc4002_ReFi-DAO.png?width=75&height=75&resize=contain,False,['climate'],4064,True,,False,1913335,False,,,,#b16dbe,en,4064,19,True,86e19321-6d61-4a27-a17d-1e0dcb98b5d4,1664185535,1745399304
Tectonic,https://www.tectonic.earth/,Amplifying the innovators and innovations moving climate ambition into action.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725032883601-Tectonic-O-2.png?width=75&height=75&resize=contain,False,['climate'],4059,True,,False,10495738,False,,,,#596253,en,4059,0,True,35c69871-4177-4174-b98a-3359692bca4b,1725032885,1724939411
Climativity,https://www.climativity.com/,A breath of fresh air from climate anxiety.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664573753252-Climativity-6.png?width=75&height=75&resize=contain,False,['climate'],3101,True,,False,14510718,False,,,,#4f7a28,en,3101,33,True,38256620-525a-4580-b98b-c71cbe8f4b11,1664573754,1746192265
Rewilding Magazine,https://www.rewildingmag.com/,Join the movement for a wilder world,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660225997273-rewilding-icon.png?width=75&height=75&resize=contain,False,['climate'],1849,True,,False,1934496,False,,,,#0a750c,en,1849,21,True,d7f8b0c9-0452-470d-a359-68a7af00068a,1658238539,1746210665
Joep Janssen,https://joepjanssen.com/,Explore our beautiful planet through the lens of water.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1742341750228-JJ.png?width=75&height=75&resize=contain,False,['climate'],1291,True,,False,47228805,False,,,,#141414,en,1291,0,False,386dfe2c-147a-42b5-a02d-64355c1fc050,1742341751,1742309880
Quitting Carbon,https://www.quittingcarbonmedia.com/,"Award-winning journalist Justin Gerdes reports on the projects, people, and policies advancing the energy transition.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1740947587669-Quitting-Carbon-Favicon-512x512.png?width=75&height=75&resize=contain,False,['climate'],104,True,99,True,10499786,False,,,,#ffb019,en,1094,0,True,58caeb88-7e61-489b-8a9a-ac1769133a9f,1740947588,1740784064
Robin Boardman,https://robinboardman.com/,"Hi! Welcome to my cyberspace of protest stories, tips for creating successful social movements and how-tos on resisting social collapse",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1685435774220-pubb-icon-2.png?width=75&height=75&resize=contain,False,['climate'],350,True,46,True,11048377,False,,,,#a92afe,en,809.02,4,True,e0a85493-8868-42a9-a80b-c3ad2bc1ab61,1685435775,1743239386
2zero,https://blog.2zero.earth/,2zero-Blog mit spannenden Einblicken in die Welt der Nachhaltigkeit sowie unsere beliebten KlimaGoodNews!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1707147823024-ic_launcher.jpg?width=75&height=75&resize=contain,False,['climate'],795,True,,False,10499165,False,,,,#1ec969,ger,795,0,True,721380ea-475b-48e4-92ea-c4da18b8c9f4,1707147825,1706203727
