Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
It's FOSS,https://itsfoss.com/,An independent portal educating people worldwide about Linux and open source.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676558324053-android-chrome-192x192.png?width=75&height=75&resize=contain,False,['education'],32788,True,,False,-27859,False,,,,#00B6BA,en,32788,33,False,6a1e8945-ba8b-482c-8ce2-ab876d7405c6,1662116482,1743391752
Linux Handbook,https://linuxhandbook.com/,"An independent portal focusing on Linux Command Line, Server, Self-hosting, DevOps and Cloud Learning",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660142766354-Linux-Handbook-New-Logo.png?width=75&height=75&resize=contain,False,['education'],24237,True,,False,-10748,False,,,,#a52c5b,en,24237,31,False,609152f1-b11e-4465-96ba-e017f93dc545,1660142769,1743165614
灵感买家俱乐部,https://ling.school/,一群独立创作者、自学者和冒险者，和一份创作者社群田野笔记。,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1701336468089---------.png?width=75&height=75&resize=contain,False,['education'],0,False,1K,True,5744615,False,,,,#3461EB,zh,14571.278968,370,True,ab207c87-4384-49f4-9efb-f54340d700e9,1696461739,1743180272
LinuxAndUbuntu,https://www.linuxandubuntu.com/,"LinuxAndUbuntu is a blog dedicated to help new users learn Linux. We regularly post Linux tips, tricks, and hacks to educate you about the best operating system, Linux.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1719531883613-lau-small-1.webp?width=75&height=75&resize=contain,False,['education'],13601,True,,False,32994,False,,,,#52C0D2,en,13601,0,False,42827606-f995-43e9-a15c-26fd9fd5c859,1719531885,1719530094
Liberating Narratives,https://www.liberatingnarratives.com/,"Decolonizing the teaching of world history by integrating African, Asian, Indigenous, Latinx, and marginalized voices",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699925813527-cropped-LN-Square-512-1x4xa67-1qlxaoh-2cflmo3-150x150.jpg?width=75&height=75&resize=contain,False,['education'],1510,True,1K,True,12550184,False,,,,#f44242,en,13019.1,2,True,6211e3c0-7758-4b08-ba3c-455553840aef,1699497941,1743436846
Free to Thrive with Foster Gamble,https://www.freetothrive.com/,"The historic archive of films, blogs and shows from two decades of the Thrive Movement plus new commentary and virtual gatherings exploring the best solutions to the criminal Global Domination Agenda.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1687571624294-Gradient-Free-to-Thrive-icon.png?width=75&height=75&resize=contain,False,['education'],11337,True,,False,18254819,False,,,,#9a1179,en,11337,9,True,3861cdec-7306-4226-b2d4-c2e29d2ea56e,1687571625,1742410831
Anaestheasier,https://www.anaestheasier.com/,Anaesthesia made easier,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1720646576332-Screenshot-2022-11-30-14.45.52.png?width=75&height=75&resize=contain,False,['education'],0,False,1K,True,14683115,False,,,,#2685df,en,10643.0926,0,True,fbafc944-b78b-4911-b1ad-0d31fc683fd9,1720646578,1720424758
Developer Insider,https://developerinsider.co/,"Developer Insider is a community for software developer with articles on different topics and programming languages such as Mobile Application Development , C, C++, Java, Tech News and other topics.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660109798119-DILogo200x200-1-2.png?width=75&height=75&resize=contain,False,['education'],9855,True,,False,1363851,False,,,,#01469b,en,9855,2,True,6ada5afb-876a-49d0-8732-a01a1b17231e,1660109800,1729846519
The Wool Channel,https://www.thewoolchannel.com/,"A publication and community dedicated to the extraordinary world of wool, brought to you by New York Times-bestselling author and wool advocate Clara Parkes.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1661965803218-favicon-gold.png?width=75&height=75&resize=contain,False,['education'],7825,True,,False,3755632,False,,,,#db9f21,en,7825,15,True,06983c1a-f71e-43e9-b797-eadb2817f889,1658238539,1743458424
GA4BigQuery,https://www.ga4bigquery.com/,A digital guide with example queries and tutorials on how to query Google Analytics 4 (GA4) data in BigQuery. Free monthly newsletter for subscribers and weekly premium tutorials for paid subscribers.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1679229012542-ga4bigquery-2.png?width=75&height=75&resize=contain,False,['education'],6925,True,,False,6136545,False,,,,#1a72e8,en,6925,1,True,8538afa2-9854-43dd-9ba6-bc1f626b4f61,1672600896,1733669109
