Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
The Companion,https://www.thecompanion.app/,"Incredible celebrity livestreams and stories you can't find anywhere else. Go deep with 10,000 other Sci-Fi and Fantasy Companions!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675957946294-Default--Black-White--copy.png?width=75&height=75&resize=contain,False,['entertainment'],8512,True,5K,True,143924,False,,,,#e7121b,en,56284.7,5,True,8e08bd80-2632-4fe5-aeb4-bd5ae415b7ab,1675941065,1732297768
One Ahead,https://www.oneahead.com/,The premium newsletter for magicians. Improve your magic with weekly news and secrets.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1731328835746-One-Ahead-Logo---Final---Circle.png?width=75&height=75&resize=contain,False,['entertainment'],0,False,4K,True,2520089,False,,,,#a72e2f,en,36091.20108,350,True,c7f612e6-340b-4061-8008-9bb287293a15,1682539723,1732784417
Transfer Orbit,https://transfer-orbit.ghost.io/,"A newsletter about science fiction, reading, and the future",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1697911759561-f3213bbe-5e36-4f5d-9b3b-806a2387edf6_3132x2349.jpg?width=75&height=75&resize=contain,False,['entertainment'],3699,True,,False,377332,False,,,,#186290,en,3699,15,True,6b99a66f-9d63-41bb-8abd-9a87cd3ea38c,1682853929,1732724039
De Nachtvlinders - hét online horrormagazine van Nederland,https://denachtvlinders.nl/,"De Nachtvlinders is Nederlands grootste online horrormagazine: nieuws, reviews en interviews over horror in films, series, boeken, comics, games en meer.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1732876811243-dnv-icon.png?width=75&height=75&resize=contain,False,['entertainment'],1711,True,,False,227782,False,,,,#6f0a02,nl,1711,0,True,53a6bcf5-4322-4475-8377-e04acbca9017,1732876813,1732825779
Sinetopya,https://sinetopya.com/,"Sinema dünyasından en son haberler, fragmanlar, film ve dizi incelemeleri, öneriler, listeler... Sinemaya dair ne varsa Sinetopya'da.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703923504051-LOGO.png?width=75&height=75&resize=contain,False,['entertainment'],1263,True,,False,130479419,False,,,,#eb6123,tr,1263,6,False,f1f98772-2399-4407-86b2-6a73550efc84,1668173223,1732877121
Where Can I Watch,https://www.wherecaniwatch.ca/,"A resource for finding TV shows, movies, and video content in Canada.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1672717183346-wciw-logo-2021-1.png?width=75&height=75&resize=contain,False,['entertainment'],938,True,,False,365996,False,,,,#f56a6a,en,938,5,True,c8d19860-130b-42f2-95fc-34c541619f2d,1672717140,1729684857
Notes on K-pop,https://notes-on-k-pop.ghost.io/,A newsletter by an entertainment business journalist and author about the ongoings of K-pop.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704417735248-Screenshot%202023-11-21%20at%206.22.00%20PM.png?width=75&height=75&resize=contain,False,['entertainment'],808,True,,False,10499151,False,,,,#ff1a75,en,808,0,True,17af29a8-96be-44ed-b549-9f742ff6b5fe,1704417736,1704417107
iWonder documentaries community,https://blog.iwonder.com/,Watch award-winning documentaries...curated around the News,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1681782450220-iwonder-symbol.png?width=75&height=75&resize=contain,False,['entertainment'],726,True,,False,8445431,False,,,,#15171A,en,726,5,True,3d88c039-ac9e-42a1-bece-74bbb0415f4a,1681782451,1732830952
All the Fanfare,https://www.allthefanfare.com/,"An irreverent celebration of pop culture. Covering movies, TV, and video games. Publishing long form articles, quick reads, and a podcast.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1728912931063-allthefanfare-squarelogo.png?width=75&height=75&resize=contain,False,['entertainment'],638,True,,False,692933,False,,,,#051839,en,638,0,True,ffc8918a-9254-403c-afb6-1520428d4bfa,1684350706,1732745154
Matthew Bogart,https://www.matthewbogart.net/,"Slice-of-life comics you'll like from the creator of ""Incredible Doom"" and ""The Chairs' Hiatus"" ...... ""Incredibly strong and not a little disturbing"" - Cory Doctorow",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668540541810-Untitled_Artwork.png?width=75&height=75&resize=contain,False,['entertainment'],637,True,0,True,673787,False,,,,#ffaa00,en,637,2,True,3de1bd01-2095-42df-b7fc-af2baa601776,1668540545,1732578349
Blog - Sieve page,https://blog.sieve.page/,Blog for the most glamorous work queue for artists.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725410197189-Sieve-logo1-1.png?width=75&height=75&resize=contain,False,['entertainment'],328,True,,False,10499655,False,,,,#5c1cfc,en,328,35,True,f7536368-3ab9-4b56-b320-92f8ac8b611a,1725153913,1730482260
Comiccons.nl,https://comiccons.nl/,Een zo compleet mogelijk overzicht van alle Comic Con- en vergelijkbare conventions in Nederland en hun gasten.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1713626229465-cropped-comiccon-nl.webp?width=75&height=75&resize=contain,False,['entertainment'],319,True,,False,24485261,False,,,,#ff1919,nl,319,3,True,ea953b37-4693-4d03-8038-6ab2894ec815,1713626231,1725825890
I Am Alex Auguste,https://www.alexauguste.com/,This Is My Real Vivid Life,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690338408278-I-AM-ALEX-AUGUSTE--1-.png?width=75&height=75&resize=contain,False,['entertainment'],252,True,,False,10499735,False,,,,#800020,en,252,65,True,8ec44fa5-3e40-4e45-a12d-26bbe5f2f59c,1690338409,1730650370
