Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
What The Luxe,https://www.what-the-luxe.com/,"Insights & Strategy for luxury, fashion & beauty executives. Followed by 4,000+ pros! Written by David Klingbeil",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703363952230-wtl-square-logo-ghost.png?width=75&height=75&resize=contain,False,['fashion & beauty'],4569,True,,False,27110230,False,,,,#f02f22,en,4569,1,True,367de540-50a8-40e6-bd08-3895fd24d761,1679880977,1711550448
la tribu beauty,https://www.latribubeauty.com/,"De todas las mentorías para centros de estética del mercado, te presento la única que te puedes permitir",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1691475578825-logo-2---la-tribu-beauty-2.png?width=75&height=75&resize=contain,False,['fashion & beauty'],2877,True,,False,303428955,False,,,,#ff1a75,es,2877,1,True,48d5081a-8cc1-49c0-bb54-5a54c471d89a,1691475579,1734876034
Love U Magazine,https://www.loveumagazine.com/,"An online fashion and empowerment magazine for women of all sizes; focusing on self-care, body acceptance, and positive mental health.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670643452658-HeartIcon.png?width=75&height=75&resize=contain,False,['fashion & beauty'],771,True,,False,118109025,False,,,,#cc33cc,en,771,0,True,413f31d4-62ad-4a64-b137-aabf3eabc38a,1670643455,1727753151
The Second Button | Men's Style,https://thesecondbutton.com/,The Second Button is a men's style blog here to help readers see what menswear enthusiasts love about clothing. My goal is to help you connect with your own personal style on a deeper level.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704587330317-DB-Runaway-Candid.jpg?width=75&height=75&resize=contain,False,['fashion & beauty'],289,True,,False,565268,False,,,,#400080,en,289,8,True,4f5795f9-544e-4c14-bdbc-bfc6e0e988f4,1660826584,1733074162
Stitches on the Run,https://www.stitchesontherun.com/,Learn all about the Japanese art of sashiko – Look after yourself by looking after your clothes. True magic.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1734569387609-Stitches-Favicon.png?width=75&height=75&resize=contain,False,['fashion & beauty'],96,True,12,True,10968737,False,,,,#0C3A57,en,216,6,True,2145c459-d00f-4ac6-b669-aba696d83f75,1667477656,1732930503
Cortis,https://www.cortis.com/,Good things lifestyle for men.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1711476676557-favicon.png?width=75&height=75&resize=contain,False,['fashion & beauty'],58,True,,False,36350602,False,,,,#E26D4A,en,58,1,True,c6cc23dc-df77-4a02-8d00-666e9e2d5222,1660559291,1734111373
TrendiGuides,https://www.trendiguides.com/,We Strive to Find the Top Products!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1722833042528-icon-6-PNG-transparent-.png?width=75&height=75&resize=contain,False,['fashion & beauty'],11,True,,False,269914642,False,,,,#1a29ff,en,11,8,True,b174639f-481f-4bed-8be5-2bea8e902959,1710994784,1727481641
Techpacker Blog,https://techpacker.com/blog/,Thought-provoking content to encourage better product development processes between designers and manufacturers.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1680556347519-TechpackerBlogLogo-2.png?width=75&height=75&resize=contain,False,['fashion & beauty'],0,False,,False,849932,False,,,,#15171A,en,0,0,True,beb1d725-6c12-4e32-8ec4-a34b4459ca44,1680556348,1732710670
Tansy E Hoskins,https://tansyhoskins.org/,Award-winning journalist and author investigating the global fashion industry from a labour rights and environmental perspective.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1707839020153-Credit---Sarah-Van-Looy-1.jpg?width=75&height=75&resize=contain,False,['fashion & beauty'],0,False,,False,2414851,False,,,,#0ebc05,en,0,0,True,b19003be-1f3c-4a79-bb47-3e287b992634,1707838847,1734424254
Permet,https://permet.co/,"Permet develops participant-owned blockchain tools for sustainable, transparent, and fair production within the fashion industry.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705368673293-permet_favi.svg?width=75&height=75&resize=contain,False,['fashion & beauty'],0,False,,False,2974067,False,,,,#2d1f28,en,0,0,False,d0076972-8df4-4e67-abb4-92860873be2e,1704963121,1705881552
