Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
LLitD,https://llitd.com/,"Novels, Podcasts, Audiobooks, and Serials by Award-Winning Author Lincoln Cole.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725645966051-1711507884128-RAVEN_SKY_MOON_eJPIkD.jpg?width=75&height=75&resize=contain,False,['fiction'],12432,True,39,True,5508282,False,,,,#12372A,en,12817,4,False,28a38262-85ab-4a77-9f48-60162822e0f5,1711036241,1746007200
Last Light in the Dark,https://blog.llitd.com/,"Stories, ideas, reviews, and more from Award-Winning Author Lincoln Cole",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1709047984934-noun_dragon_1878522_(1).png?width=75&height=75&resize=contain,False,['fiction'],4355,True,0,True,10495427,False,,,,#12372A,en,4355,0,False,52c6c2f3-fc63-405d-a040-13977cb8f267,1709047986,1709047568
Les Parasites,https://lesparasites.net/,vous racontent des histoires. Fictions cinéma.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1729782038314-LesParasites-1.png?width=75&height=75&resize=contain,False,['fiction'],4104,True,,False,13071030,False,,,,#1a86d2,fr,4104,2,True,4f0c0802-8a9d-45d7-b64b-3a1708c3b6d2,1729695213,1729440000
Annelie's Bookish Shenanigans,https://community.anneliewendeberg.com/,"Indulge in early-release books long before the rest of the world, exclusive cinematic editions, audiobooks, and behind-the-scenes content that will never go public.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1743187580770-welcome-3.png?width=75&height=75&resize=contain,False,['fiction'],4027,True,,False,297283873,False,,,,#007D7D,en,4027,23,True,66e948cd-055b-4703-ba0f-ec5a2ebd4938,1743162758,1745044549
Words and Birds,https://www.wordsandbirds.ink/,"Fiction, Nature Photography, and Spiffy Reading Recommendations from NYT bestselling author Kevin Hearne",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705708736064-wordsandbirdsicon-1.jpg?width=75&height=75&resize=contain,False,['fiction'],1243,True,,False,10498694,False,,,,#77bb41,en,1243,0,True,29d21028-3916-4ab5-b8d7-fdf1dc2ad81a,1705708736,1705501151
Dark Harbor Magazine,https://www.darkharbormagazine.com/,A New Home for Horror Fiction and Non-Fiction.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1733364251876-SS-2.png?width=75&height=75&resize=contain,False,['fiction'],86,True,93,True,10499811,False,,,,#000000,en,1019.2,52,True,1dabe339-657f-4a54-9142-8993882a3586,1733312574,1744538453
A Queer Enigma Books,https://www.queerenigma.com/,Home of fantasy & mystery webserials Fractured Magic & the Case Files of Sheridan Bell.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1728054788758-henry-logo-3.jpg?width=75&height=75&resize=contain,False,['fiction'],894,True,,False,10499061,False,,,,#635940,en,894,2,True,db02dfee-cad0-4644-b207-fcb80451c40b,1728054790,1744487984
Radio Free Tomorrow,https://www.radiofreetomorrow.org/,"Coffee, Opinions, and Serialized Fiction",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1722891556349-8d29529f-36f6-46a0-9ba2-eb4686b93992_1080x1080-1.png?width=75&height=75&resize=contain,False,['fiction'],128,True,40,True,15914403,False,,,,#49b330,en,527.6,0,True,019d267a-7509-4e24-93da-4a4cfec25de2,1722891557,1722866426
Joshua Scott Edwards,https://joshse.com/,"Author of epic fantasy, An Ocean of Others, and sci-fi horror serial, Grave of the Waiting. New chapters and newsletters on the 1st and 4th of the month.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667596676534-Ghost%20Explore%20Logo.jpg?width=75&height=75&resize=contain,False,['fiction'],284,True,5,True,101915414,False,,,,#15171A,en,334,0,True,d86c3631-da9a-471c-87aa-ffdfeedc522e,1667596370,1743811394
Heartlines Spec,https://www.heartlines-spec.com/,"Heartlines Spec is a speculative magazine focused on long-term friendships and relationships. It's the comfort of the known, the fierce hug of someone that knows you best.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693236512630-Twitter%20Profile%20Image.png?width=75&height=75&resize=contain,False,['fiction'],318,True,,False,9254995,False,,,,#d71d4c,en,318,2,True,5bae7b3d-74f5-4713-918f-adc40bb58bce,1693236513,1743424544
Working Title Worlds,https://worlds.workingtitle.us/,Stories for Restless Sleep,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1698714706556-youtube-watermark-1.png?width=75&height=75&resize=contain,False,['fiction'],266,True,,False,2314688,False,,,,#da45ea,en,266,4,True,d66ea059-e057-4c70-bfd8-cc4046663cf1,1696788491,1714535237
Chokeville,https://www.chokeville.com/,A serial novel about two tough sisters trying to stay afloat in a zesty hardboiled pirate crime city.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704406065325-bottle_logo.png?width=75&height=75&resize=contain,False,['fiction'],265,True,,False,6124210,False,,,,#000000,en,265,0,True,505c28dc-fb2a-41bd-96f9-698ad84ee534,1704406066,1704400717
The Dream Pedlar,https://thedreampedlar.com/,an image + a tale = plenty of whimsy and wonder | Come read a new original fantasy tale every week!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725640088768-Anitha_Krishnan_AuthorPhoto.jpg?width=75&height=75&resize=contain,False,['fiction'],234,True,,False,3550825,False,,,,#e63b7a,en,234,18,False,85e59d6d-ecce-490e-b98b-175528c88a76,1660604004,1745737214
The Stardust Dispatch,https://stardustdispatch.ghost.io/,"Weekly recipes, speculative fiction, and updates from author Mia V. Moss",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668405704172-Logo_Pink-Circle.png?width=75&height=75&resize=contain,False,['fiction'],198,True,0,True,22279302,False,,,,#f55e1d,en,198,6,True,bfcb9fef-1b27-4137-9e91-ef2620a086d2,1667154186,1671158138
Frivolous Comma,https://www.frivolouscomma.com/,Collecting and publishing diverse speculative fiction and non-fiction work. We showcase and elevate writers of underrepresented communities and geographies.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1662334601217-InstagramProfile-01.png?width=75&height=75&resize=contain,False,['fiction'],170,True,,False,3232027,False,,,,#ad2f57,en,170,27,True,e64056f9-ddbf-48f7-9463-3a0f2c01c865,1662334602,1746022081
Clove & MOose,https://newsletter.katieconrad.ca/,A serial story about a former witch and her cat searching for hope in a post-apocalyptic world,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706471013516-Icon.png?width=75&height=75&resize=contain,False,['fiction'],158,True,,False,23175831,False,,,,#FF7D00,en,158,2,True,589eea3b-48d3-4411-bb5f-d8c3997033ba,1705182611,1745146834
Weird Fiction Quarterly,https://weirdfictionquarterly.com/,Publishing original weird flash fiction four times a year!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700854278090-wfq-logo-512.png?width=75&height=75&resize=contain,False,['fiction'],148,True,,False,5506243,False,,,,#1B5E20,en,148,6,False,024717fe-2978-45d8-9b1c-07e341a540fe,1700854279,1745347256
GXYZ,https://www.gatling.xyz/,For when you just want to read an Actual Play instead #TTRPG #ActualPlayFiction #APFic,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669951952491-1664061366294-gxyz_60x60_v2.png?width=75&height=75&resize=contain,False,['fiction'],115,True,3,True,1289845,False,,,,#FF741E,en,141.6,1,True,28653654-9837-4c6a-8368-19a265a3545b,1660436046,1732544144
Esteban Noel,https://www.estebannoel.com/,"writer // TX, USA",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1738624788690-subtackAVIjpeg-1.jpg?width=75&height=75&resize=contain,False,['fiction'],13,True,10,True,10499975,False,,,,#9c2ded,en,113,0,True,4a575f94-4464-4fe8-b777-c6281fe6617e,1738624789,1738568279
The Cry List,https://www.crylist.space/,A fiction newsletter for real humans who have feelings and/or friendships,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1674352106431-tcllogo1-1.jpg?width=75&height=75&resize=contain,False,['fiction'],61,True,,False,9999939,False,,,,#3a88fe,en,61,1,True,7f393c62-7ed5-4135-bf13-514cc9485f9c,1674342521,1684999802
Rhoadey Writes,https://www.rhoadey.com/,"I’m a storyteller, developmental editor, journalist, and photographer. I write articles and personal essays reflecting on craft and doing creative labor under capitalism.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1709370294861-Rhoadey-dark-square-3.png?width=75&height=75&resize=contain,False,['fiction'],55,True,,False,33874648,False,,,,#d29d00,en,55,6,True,343ff0cf-4920-4340-8a3e-b923d8cceb75,1709370296,1719435946
Fae Reviews,https://www.faereviews.com/,If you enjoy reading Fantasy-Romance books I can be the perfect tour guide for you to help you navigate the vast ocean of published books while you invest your time in reading satisfying stories.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673084253600-1667830411814-1660248128563-FR-Logo_new_2_low.png?width=75&height=75&resize=contain,False,['fiction'],41,True,0,True,5609016,False,,,,#6446A6,en,41,6,True,fcf2e49f-12bf-4689-bc93-a3cb4e8cfabb,1660248130,1745586016
With Both Hands,https://www.benespen.com/,"Book reviews and literary criticism of adventure stories, along with an archive of John J. Reilly's The Long View","https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1728758337993-With%20Both%20Hands%20Publishing%20LLC,%20LOGO.png?width=75&height=75&resize=contain",False,['fiction'],37,True,,False,562044,False,,,,#1a5eff,en,37,2,True,256e2e30-70e3-4b96-b46c-a474c989f416,1681400803,1745612066
Phil Hurst Writer,https://www.hurstcoaching.co.uk/,"Phil wants a book deal, and he's sharing what he learns along the way.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706608169578-Insightful-1.png?width=75&height=75&resize=contain,False,['fiction'],37,True,,False,10499961,False,,,,#004b6a,en,37,2,True,07385298-b1f6-44d7-9ec8-064ab3981ec5,1705837806,1744990231
Cogs and Consciousness,https://www.candc.blog/,"Fiction, steampunk, and life lessons from a CEO turned storyteller. Behind-the-scenes looks at novels in progress, plus insights on leadership, purpose, and personal growth.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1743472653290-Cogs-and-Consciousness-3.webp?width=75&height=75&resize=contain,False,['fiction'],36,True,,False,10499962,False,,,,#0070B8,en,36,12,True,39c084cb-cf60-421d-baa2-6e1905fe65de,1743345953,1745758855
Sienna Eggler,https://www.siennaeggler.com/,Queer author of neurodiverse and sapphic SFF.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1722516580371-257476_QZergOQe.png?width=75&height=75&resize=contain,False,['fiction'],36,True,,False,17241892,False,,,,#008080,en,36,0,True,fef5b602-18ec-4b9a-9ccf-c9ab9486a503,1660478660,1745490614
Daniel Verastiqui,https://danielverastiqui.com/,"Explore the ramblings of an aging cyberpunk novelist from Austin, TX. Writing, tech, gaming, food, fitness, nerd stuff, and more!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1729104204945-Daniel_Verastiqui_Bookshelf%20(Medium).png?width=75&height=75&resize=contain,False,['fiction'],30,True,,False,11567785,False,,,,#4b1562,en,30,1,True,6594eece-6cc0-40c5-b6d2-ffba3bf443ad,1713205350,1746018209
"A Whisky, Darkly",https://www.awhiskydarkly.com/,"Scott Steward is a retired federal agent. He writes poetry and fictionalized short stories about love, women, and his life experiences.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660480596609-57EF60B8-F8AF-4807-93F3-CF6412C9F78E.jpeg?width=75&height=75&resize=contain,False,['fiction'],28,True,,False,9999972,False,,,,#630e15,en,28,2,True,4ba0e581-2e9e-4d2f-8ccc-f6ce6c7b3eaa,1660480598,1690905600
TSUBION,https://www.tsubion.com/,"Serial sci-fi and fantasy web novels by Javier Lopez. Topics include near-term AI, robotics, transhumanism, alien first encounter, post-apocalyptic survival, GIANTS and flat earth pandas!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1716050095681-Favicon-1-.png?width=75&height=75&resize=contain,False,['fiction'],25,True,,False,1411979,False,,,,#15171a,en,25,0,True,e976be2f-d462-4804-8f26-031a227c924f,1716050097,1714510563
Tales at Twilight,https://www.authorkatejohnston.com/,"Spark your imagination. Have a seat by the fire and immerse yourself in stories that will grab you, and take you with them wherever they go.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1717970719553-KateAvatarTransparentBackground.png?width=75&height=75&resize=contain,False,['fiction'],13,True,,False,10499986,False,,,,#1a1918,en,13,0,True,8b3d6712-d7b1-4201-9877-1dda067f7dc1,1717970721,1717466742
Heather Giesbrecht,https://heather-giesbrecht.ghost.io/,Freelance writing and 2SLGBT+-focused stories,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1744380839983-Heather-Giesbrecht-05.jpg?width=75&height=75&resize=contain,False,['fiction'],13,True,0,True,11499986,False,,,,#FF1A75,en,13,0,True,ba581133-51f0-4f7b-b773-3113d6845be5,1744380841,1744377786
Derek M Cartwright - Author,https://www.derekmcartwright.com/,The musings of a storyteller as he navigates the literary world. A real person who blogs about his writer's life and hosts a book reading podcast.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1727871573579-Etsy%20Photo%20.jpg?width=75&height=75&resize=contain,False,['fiction'],11,True,,False,9999989,False,,,,#32623e,en,11,0,True,268cf89e-118b-42c3-b277-ccdac391ba54,1727871575,1723815746
Ancient Roads,https://www.chris-struble-writes.com/,"Fantasy fiction set in ancient worlds where music makes magic, and the road ahead is always uncertain. Words and music by Seattle writer and composer Chris Struble. Wanderers welcome.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1740189702817-lyre-freepik-4-edited.png?width=75&height=75&resize=contain,False,['fiction'],11,True,,False,10499988,False,,,,#83a5bd,en,11,1,True,bc81d74e-22b2-4af0-8343-3aeafe71a4f4,1739285731,1745373632
Brett Seegmiller,https://www.brettseegmiller.com/,Brett Seegmiller,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1737063122958-Frame-1736-1.svg?width=75&height=75&resize=contain,False,['fiction'],10,True,0,True,10499989,False,,,,#000000,en,10,0,True,af2e403d-c18e-4bc3-98a2-393a1286392f,1737063123,1735862771
Humania Antológica,https://humania-antologica.ghost.io/,Humania Antológica. Construyendo el legado de una especie en extinción.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725958496635-milky-way-67504_1280.jpg?width=75&height=75&resize=contain,False,['fiction'],9,True,0,True,9999991,False,,,,#130e10,es,9,3,True,55e0f5c9-9c9d-4978-9bab-4ae2aa7b7a78,1725958498,1728831492
life in daegu,https://blog.siggers.work/,An occasionally humourous semi-fictional account of the life of a Canadian mathematician working in Korea.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1732273300649-knulogo-2.png?width=75&height=75&resize=contain,False,['fiction'],6,True,0,True,10499993,False,,,,#15171A,en,6,2,True,1bea027c-15c9-41b1-806f-38bfdf889cfd,1703848966,1744761307
Haus Reverie,https://haus-reverie.ghost.io/,"Haus Reverie started as a dream for a storyteller in 2021. The goal: to build a corner of the internet, full of fantasy-driven stories.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1722464525599-HR-Sticker-1.png?width=75&height=75&resize=contain,False,['fiction'],5,True,,False,9999995,False,,,,#775fff,en,5,0,True,89ca957b-e4e8-4dae-8d17-8a39d5b2f597,1702572921,1736877122
WritefullyYours,https://writefullyyours.ghost.io/,Hello! I'm a new writer in a world I know nothing about. I'd like to gain feedback (positive/negative) and explore ideas within a group that gets just as excited as I do.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1717870937264-06.08.2024.jpg?width=75&height=75&resize=contain,False,['fiction'],5,True,0,True,10499994,False,,,,#FF1A75,en,5,0,True,b67195a7-90a0-42f7-9dce-e37c8278c2d4,1717870938,1717869459
The Fantasist,https://the-fantasist.ghost.io/,"Newsletter with original work, updates and resources for newer artists.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1731367576234-PXL_20241104_210430899-2.jpg?width=75&height=75&resize=contain,False,['fiction'],5,True,0,True,10499994,False,,,,#1182ab,en,5,1,True,6d8552fb-6354-4e2b-bc42-85c5098d35f8,1730755791,1745876565
Isa Robertson,https://isarobertson.com/,... tries to put the ineffable into words.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1709337440368-icon.png?width=75&height=75&resize=contain,False,['fiction'],5,True,,False,10499994,False,,,,#800000,en,5,0,True,455caa6e-8954-469a-b164-2b79ce65ab20,1709337442,1709335304
Corr Syl on Ghost,https://corr-syl.ghost.io/,This serialized science fiction novel shows how Corr Syl and his Battle Group become defenders of the Earth.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1708207680412-Garry-Rogers.jpg?width=75&height=75&resize=contain,False,['fiction'],4,True,0,True,10499995,False,,,,#401aff,en,4,0,True,958038e5-9c51-4efa-9680-84fbb5cb4dd0,1708207682,1707777352
Bad Educatian,https://www.talescorps.net/,Weird stories for weird hoomans. To read and to play.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1737133422528-DoubleR_Sticker.png?width=75&height=75&resize=contain,False,['fiction'],4,True,,False,22149017,False,,,,#982c28,fr,4,2,True,96d25851-d9c3-4f2a-9a40-140db801d14c,1737133001,1738857600
Satoshi's Secret,https://satoshissecret.ghost.io/,"Satoshi's Secret: A fascinating dystopian fantasy. That carries its characters through the past present and future, to bring the Light of Bitcoin to World.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1739978152250-satoshi-coding-bright-1.jpg?width=75&height=75&resize=contain,False,['fiction'],3,True,0,True,10499996,False,,,,#f20d69,en,3,0,True,3d1530ad-b839-4824-b1f1-cf51e2b99125,1739978153,1739963250
Frog's Blog,https://frogsblog.au/,"Sharing writing tips, my wip, and monthly reviews. Updated once weekly.🐸💛",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1740737903656-frog-428.jpg?width=75&height=75&resize=contain,False,['fiction'],2,True,0,True,10499997,False,,,,#9dca3b,en,2,1,True,17d809e6-7b48-4dc9-b45e-867a18e949fe,1740737905,1745655353
Reverse Writing,https://newsletter.allthatjazz.me/,It's like reverse engineering but for writing,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1716035929731-Writ%20logo.png?width=75&height=75&resize=contain,False,['fiction'],2,True,0,True,11499997,False,,,,#000000,en,2,0,True,ba51604b-4f22-4def-a160-f114464987ca,1716035931,1716022845
