Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Heat Death,https://heat-death.ghost.io/,"Two journalists tracking the intersections between ecology, history, and culture.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668733961400-LogoMakr-0mbxcm-1.png?width=75&height=75&resize=contain,False,['history'],354,True,130,True,6579072,False,,,,#a6581c,en,1652.8,1,True,0f8b27ea-39e5-4744-bd32-e6aa242d797a,1668733964,1731971086
Voice of the Ancestors,https://voiceoftheancestors.ghost.io/,The First Revolution Starts in the Mind,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1732257206478-New-VOTA-Logo.png?width=75&height=75&resize=contain,False,['history'],38,True,144,True,10499808,False,,,,#e91515,en,1478,0,True,94968398-5c8b-49df-8d68-42999512852d,1732257207,1732214027
TheWork,https://thework.ghost.io/,"Straight Talk on Craft and Method. Offering a historical perspective on today’s self-care, fitness and performance-training methods.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1714583177346-berlin%20pic.jpeg?width=75&height=75&resize=contain,False,['history'],21,True,135,True,68018234,False,,,,#3e1bf5,en,1375.41951,0,True,9b6e775c-776c-4c95-b207-283a99d92a4f,1714068686,1732629149
The Black Sportswoman,https://briafelicien.ghost.io/,where Black history meets women's sports,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673925221522-1668221501889-The-Black-1.png?width=75&height=75&resize=contain,False,['history'],1200,True,,False,9998800,False,,,,#15171A,en,1200,0,True,ca22897d-be32-486d-ab4a-4c9b3f900c27,1668221505,1715826434
The Garden of Memory,https://www.gardenofmemory.net/,"The blog and newsletter of historian Sean Munger, looking at the past as a living garden of human experiences.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675628506026-garden%20orb.jpg?width=75&height=75&resize=contain,False,['history'],282,True,77,True,420855,False,,,,#1e660f,en,1056,8,True,50ab7234-9b09-4ca8-861d-53e520031e4a,1675628507,1732137327
The History Islands,https://the-history-islands.ghost.io/,Stories and legends from the Channel Islands.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704057919581-The%20History%20Islands%20Final%203.jpg?width=75&height=75&resize=contain,False,['history'],806,True,,False,10499153,False,,,,#ff1a30,en,806,0,True,d747a9f0-cda8-4570-ba1d-9be021d50e85,1704057920,1702281877
Homestory Nederland,https://blog.homestory.world/,"Alles wat je nodig hebt om het verhaal van je huis te ontdekken, bouwen en beschermen.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1731485111986-Homestory---H-logo-500x500---white-bg.png?width=75&height=75&resize=contain,False,['history'],726,True,,False,294807544,False,,,,#5e5858,nl,726,0,True,169c6719-360d-45ad-a786-28fa4cfa4645,1731485113,1731423299
The Red Haired Stokie,https://www.theredhairedstokie.co.uk/,Unravelling the secrets of Stoke-on-Trent and Staffordshire's past,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1730022863555-Orange-Green-Vintage-The-Long-Journey-Circle-Logo--1-.png?width=75&height=75&resize=contain,False,['history'],417,True,,False,292500,False,,,,#ff0000,en,417,4,True,27d7513c-cb09-4b03-8507-0991ad4e79e5,1679916233,1732186883
Wordorigins.org Newsletter,https://wordorigins-org.ghost.io/,"The thrice-weekly newsletter of Wordorigins.org. Since 1997, we have been providing rigorously researched, yet readable information on the history of the English language.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1709555751752-bayeux_icon2.jpg?width=75&height=75&resize=contain,False,['history'],405,True,,False,10454883,False,,,,#809aed,en,405,0,True,ed5839b9-3549-4667-ae36-77ca1139ae89,1709555753,1732536027
US Naval History Podcast,https://www.usnavalhistory.com/,"The US Naval History Podcast features the highlights of our naval history, from John Paul Jones' raids on Scotland to the navy's finest hours in WWII, and beyond to the Cold War and world today.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1723921022836-US-Naval-History-Podcast-Logo-1.jpg?width=75&height=75&resize=contain,False,['history'],14,True,26,True,10499958,False,,,,#0432ff,en,269,0,True,8922fd9d-bae3-4c79-a7a2-550e205e720f,1723921024,1722456577
Wiggleman,https://wiggleman.ghost.io/,Elvis stuff.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1668196973693-C4239745-427D-46CD-850D-7F8E6FC27CC6.jpeg?width=75&height=75&resize=contain,False,['history'],252,True,0,True,9999748,False,,,,#ff1a75,en,252,2,True,c8a41d13-e79c-4940-9330-b71bffee00aa,1668196977,1687815864
Roman Empire Times,https://romanempiretimes.com/,"Dive into the Roman Empire Times for captivating tales, intriguing anecdotes, latest news, and factual insights from Rome's illustrious history.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1716757042925-Screenshot-2023-10-05-at-22.54.45-1.png?width=75&height=75&resize=contain,False,['history'],118,True,10,True,230344,False,,,,#b21010,en,218,28,True,4a0d4a06-c022-49a4-aa1b-5a623a084eb5,1710429742,1732579397
PA Ancestors,https://www.paancestors.com/,Discover your Pennsylvania ancestors with explainers on history and genealogy records.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1724367994372-Ghost-Blog-Logo.png?width=75&height=75&resize=contain,False,['history'],180,True,,False,8107747,False,,,,#2e266d,en,180,0,True,6e9fffc8-02d0-4122-9840-a526d9382f4d,1724367995,1724087272
Postcard Past / Present Photo,https://www.postcard-past.com/,"Exploring power, culture, & the history of cities through present-day photo recreations of old postcards.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690162868749-Merchandise%20Mart%20Combo%20-%20small.png?width=75&height=75&resize=contain,False,['history'],46,True,0,True,39942636,False,,,,#f7d490,en,46,10,True,bdefb42b-9031-47cf-a706-3a07c51ec0bf,1690162869,1732114808
Africa History Weekly,https://africahistoryweekly.ghost.io/,Weekly African Political History,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1681071965258-Screenshot%202023-04-09%204.24.02%20PM.png?width=75&height=75&resize=contain,False,['history'],15,True,,False,9999985,False,,,,#100a0a,en,15,1,True,39132b8a-842a-45e8-8d8f-0357229cd25e,1681004457,1681692976
Veritas Tabletop,https://www.veritastabletop.com/,RPG Homebrew and Advice Inspired by History,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1707238230066-Logo-Square.png?width=75&height=75&resize=contain,False,['history'],7,True,,False,11499992,False,,,,#690202,en,7,0,True,c561a3a3-e789-43e8-9c88-e33ef803008e,1707238232,1707147013
Mitos y más,https://mitosymas.com/,"Un sitio para contar mitos, leyendas y folclore del mundo...",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1716064632949-icono-1.png?width=75&height=75&resize=contain,False,['history'],0,False,,False,1114947,False,,,,#000000,es,0,0,True,379878da-de06-40fa-8ac7-01f500e0b31e,1716064634,1715994058
