Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Wanderstories,https://wanderstories.space/,"An adventure guide to Townsville and North Queensland's great outdoors. Hiking, running, canyoning, backpacking, bikepacking, packrafting, whitewater, rock climbing, etc",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693825507903-Wanderstories-publication-logo.png?width=75&height=75&resize=contain,False,['nature & outdoors'],2069,True,456,True,1916235,False,,,,#15171A,en,6628.760408,3,False,c1e18b5e-f5db-4a92-8e02-3e42c21edbc9,1664376588,1733702400
Hiking America,https://www.hikingamerica.com/,"Hiking America - American Discovery Trail Maps & Guides. Independent, Crowdsourced.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1665314415067-Hiking-America-M-B-IconCrop-1.png?width=75&height=75&resize=contain,False,['nature & outdoors'],226,True,157,True,18507847,False,,,,#145158,en,1796.7,0,True,8c20807c-9678-4aef-a701-5e9cd280fba1,1660475757,1733410839
Lawyers for Nature,https://www.lawyersfornature.com/,Representing the natural world and all who seek to defend it.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1665745771897-Lawyers-for-Nature-Publication-Icon--Minimised.png?width=75&height=75&resize=contain,False,['nature & outdoors'],1264,True,0,True,1183968,False,,,,#4aa2b9,en,1264,3,True,b4401702-6ffd-4f58-ba23-d24aee8a9186,1664915743,1729185560
Pitchstone Waters,https://www.pitchstonewaters.com/,Ranchers. Entrepreneurs. Environmentalists. Increasing biodiversity for a better ranch—and a better tomorrow.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725976341732-pitchstone_waters_logo_SECONDARY.png?width=75&height=75&resize=contain,False,['nature & outdoors'],657,True,,False,386501,False,,,,#5C291F,en,657,0,True,913d6c54-cd43-4d01-acbc-26618b7010d9,1725976343,1725973825
Patrol: Anti-poaching in Action,https://www.patrolling.org/,"An initiative established to feature the anti-poaching work of safari operations across Africa in a bi-monthly newsletter format through written articles, photography, and short documentaries.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725604028185-PATROL-icon-1.png?width=75&height=75&resize=contain,False,['nature & outdoors'],447,True,0,True,33704705,False,,,,#BE1F24,en,447,4,True,2bdc0a61-fe3c-4628-aa6d-c612041f7719,1670921093,1734580850
Starbuck's Exploring,https://www.starbuck.org/,Field notes from backcountry explorations of the Western United States,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703815450535-guy-logo3-small.png?width=75&height=75&resize=contain,False,['nature & outdoors'],365,True,,False,3384340,False,,,,#0047b3,en,365,1,True,26b4f58b-759e-4e83-afb5-1f422a04ad40,1660602824,1734361202
Postcard from Monadnock,https://www.jarviscoffin.com/,"Musings on life, love, food (and the weather) from rural New Hampshire.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1697023522709-Stamp_Full%20Color.svg?width=75&height=75&resize=contain,False,['nature & outdoors'],211,True,0,True,3702292,False,,,,#e0592a,en,211,3,True,ed2846af-f652-4e55-a950-933aa3f08e06,1697023523,1732962635
UK Osprey News,https://ospreys.net/,"A newsletter updating you on UK ospreys, and other raptor news",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1684155649367-new-osprey-news.png?width=75&height=75&resize=contain,False,['nature & outdoors'],187,True,,False,18995056,False,,,,#669c35,en,187,1,False,bf826008-0f6e-4d76-b466-2fd8abecbee1,1667237931,1684152658
OF BEASTS AND MEN,https://of-beasts-and-men.ghost.io/,We're not so different.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1716385505249-Screenshot-2024-02-28-at-14.18.39-3.png?width=75&height=75&resize=contain,False,['nature & outdoors'],12,True,12,True,275209373,False,,,,#0ffc8a,en,136.8,1,True,c0fddde9-b09a-4b1c-a911-8417e4062394,1716228354,1716228085
Parkway Colors,https://www.parkwaycolors.com/,"When the seasons change, we tell you where the color is on the Blue Ridge Parkway, simple as that. Subscribe to our weekly newsletter.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1728151077812-PC%20attempt%20(5).png?width=75&height=75&resize=contain,False,['nature & outdoors'],135,True,,False,133752193,False,,,,#8d053b,en,135,3,True,7cdc7750-ecbe-4239-a0de-9de5998084ca,1720883622,1734559194
