Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
ÆTHER,https://www.aether.news/,Perspectives spirituelles,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1727612008046-logo_aether_8_couronne.png?width=75&height=75&resize=contain,False,['philosophy'],2069,True,,False,1687583,False,,,,#1fb5a2,fr,2069,2,True,22dc2b45-feb9-4c57-b96f-36bc8513f4b9,1703849984,1732302059
planksip®,https://www.planksip.org/,A Philosophical and Cultural Media Outlet Changing What it Means to Consume.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660098870024-G---Actually-it-s-a-P.png?width=75&height=75&resize=contain,False,['philosophy'],0,False,182,True,2083543,False,,,,#A98B69,en,1820.75,0,True,5c81966b-bebe-4e97-b6c0-25cb57b9275a,1660098871,1733108458
ReImagining Liberty,https://www.reimaginingliberty.com/,"The emancipatory and cosmopolitan case for radical social, political, and economic liberalism. A newsletter and podcast by Aaron Ross Powell.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1724085304658-RIL-Favicon.png?width=75&height=75&resize=contain,False,['philosophy'],1447,True,4,True,4147781,False,,,,#490069,en,1488.6,1,True,1e00e399-39e3-46c6-a91c-851aae2fe20c,1723486502,1730918289
The New Philosophy,https://www.thenewphilosophy.com/,"Philosophy that amuses, educates, and entertains.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670395881386-thenewphilosophyraphael.jpg?width=75&height=75&resize=contain,False,['philosophy'],332,True,110,True,6927372,False,,,,#138edf,en,1433.455195,0,True,88f2f631-7771-4336-a0ec-13a2e96ecddc,1670395885,1727866532
The Inner Journey,https://www.theinnerjourney.co/,You don’t need to fit in. Explore your limitless mind.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1727528237008-Favicon-A.png?width=75&height=75&resize=contain,False,['philosophy'],401,True,,False,11499578,False,,,,#9464e9,en,401,0,True,b2cc8e09-009f-4856-a509-de2b453b7d96,1727528238,1727446592
Cambia le tue Abitudini,https://www.cambialetueabitudini.com/,Sblocca il Tuo Potenziale Illimitato,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1724476470773-Progetto-senza-titolo-1.png?width=75&height=75&resize=contain,False,['philosophy'],316,True,,False,15813556,False,,,,#ffa500,it,316,0,True,fe18e800-a3e1-4211-b557-f959d4484d11,1704779984,1733119214
Tranquillity's Secret,https://stilljustjames.com/,There Is A Way Of Seeing The World Different. Tranquillity’s Secret Presents A Novel Paradigm: A New Way To Understand The World And Ourselves — And The Meditation Technique That Saves You From Harm.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1710192080432-Tranquillity-Secret-Icon.png?width=75&height=75&resize=contain,False,['philosophy'],304,True,,False,53186874,False,,,,#eeaa46,en,304,1,True,e5709adb-26e1-4656-995e-673b177ea2b5,1707863534,1722781108
Surplus Jouissance,https://www.surplusjouissance.com/,"[S][J][P] is a blog, email newsletter, and series of podcasts focusing on how Lacanian Psychoanalysis intersects with the humanities.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666664398277-IMG_3294%203.jpg?width=75&height=75&resize=contain,False,['philosophy'],119,True,7,True,44882127,False,,,,#e42620,en,189,1,True,d66538fb-0eee-4af8-963a-f94b6a051f82,1666664399,1732764503
Samsara Diagnostics,https://www.samsara.clinic/,Religion | Philosophy | Psychoanalysis -- Words from the clinic to the catacomb,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1683423333645-53376062_padded_logo-11.png?width=75&height=75&resize=contain,False,['philosophy'],169,True,,False,3011764,False,,,,#a999d9,en,169,6,True,4af00076-2410-4d84-a14b-f84fe9f998a9,1683423334,1732898916
Conectorium,https://www.conectorium.com/,"Plataforma de libros y lecturas filosóficas, históricas, culturales y políticas. Todo el contenido forma un libro o enciclopedia circular.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1664165208398-Conectorium-isotipo.png?width=75&height=75&resize=contain,False,['philosophy'],155,True,,False,3859074,False,,,,#b0b0b0,es,155,1,True,d6c5aff6-48d4-4c3b-bc9f-df050ad2f785,1664165210,1723283750
