Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Inspire,https://inspire.savee.it/,Stories and ideas on how we are building SAVEE to be the best place for inspiration.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1693465933119-apple-icon-180x180.png?width=75&height=75&resize=contain,False,['productivity'],1215645,True,,False,1919251,False,,,,#2E36FF,en,1215645,0,False,41c8847a-e002-4ee9-a0f9-1d1289330e87,1693465933,1723225104
Progress Magazine,https://www.progress-magazine.com/,A psychology and self-development magazine helping women from all walks of life find fulfilment on their own terms.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1732571653237-Progress_Club_Submark-01.png?width=75&height=75&resize=contain,False,['productivity'],12758,True,,False,10486604,False,,,,#937457,en,12758,0,True,e108f67b-e3d9-447b-ac68-12333ef4416f,1731448698,1732650576
Jeff Su,https://www.jeffsu.org/,I'm Jeff. I'm a full-time Product Marketer and a part-time YouTuber. Come for the productivity tips and stay for the sarcastic comments,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660495980353-89KB-1.png?width=75&height=75&resize=contain,False,['productivity'],9383,True,,False,6716977,False,,,,#15171A,en,9383,292,True,03ec6455-9ce5-4207-aff7-01dc52f46682,1660495981,1732798802
Cultivating Resilience,https://www.jasonshen.com/,"Each week, serial founder & executive coach Jason Shen explores new ways we can build, adapt, and lead in the face of change.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660142011074-jason-shen-icon-3.png?width=75&height=75&resize=contain,False,['productivity'],4321,True,,False,837064,False,,,,#0b4f84,en,4321,4,True,a79f8ba5-5952-4260-8beb-619da05bfefe,1660142012,1732368905
Clarke Ching - The Bottleneck Guy,https://www.clarkeching.com/,I'm Clarke. I love helping busy bosses claw their weekends back.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1721727983031-Circle.so-Icon-64x64.png?width=75&height=75&resize=contain,False,['productivity'],3169,True,,False,2088999,False,,,,#b98b35,en,3169,0,True,b55325c8-ff76-44bb-9b5b-ac1def28009b,1721727984,1721707886
Creativerly,https://creativerly.com/,"A publication about creativity and productivity-boosting tools. Learn through interviews with creators & creative minds, and get insights into features and workflows through app & tool deep dives.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660649031568-Ghost-Publication---Icon---Black.png?width=75&height=75&resize=contain,False,['productivity'],2240,True,,False,3132279,False,,,,#3D515B,en,2240,12,False,d0dc13a7-48c5-435a-8da8-06ac5cee90b7,1660648990,1732559422
Rabbit Ideas,https://newsletter.rabbitideas.online/,A carefully curated selection of the most useful online resources for self-improvement and productivity. Every Sunday in your inbox.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673261642653-gg99605232-removebg-preview.png?width=75&height=75&resize=contain,False,['productivity'],2109,True,,False,3470214,False,,,,#ffa550,en,2109,8,True,1c1bb1b1-9ab8-4880-864d-2faa2e79c347,1672688737,1732453271
작은배,https://jagunbae.com/,독립 창작자에게 영감과 용감을 주는 콘텐츠를 만듭니다. 제주에서 강단과 소신이 함께 운영하고 있습니다.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1722083804263-jagunbae-logo.png?width=75&height=75&resize=contain,False,['productivity'],397,True,161,True,5052674,False,,,,#3737b3,ko,2002.4,56,False,1900543a-1ae0-4d13-9ed3-07663d871ab8,1720695994,1732698033
منصة دهاء | للإبداع المدعَّم بالذكاء الاصطناعي,https://www.daha.ai/,"استكشف ""دهاء"" حيث يلتقي الإبداع بالذكاء لتقديم حلول مبتكرة واستراتيجيات ذكية. انضم إلينا لتحقيق نجاح مستدام من خلال التفكير المبدع والقرارات الذكية. اكتشف المزيد الآن!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725612305498-daha.ai-1.png?width=75&height=75&resize=contain,False,['productivity'],223,True,145,True,55730569,False,,,,#0A3254,ar,1675.83271,3,True,0200aaa1-dc0c-4a5c-a2d5-9159a9c8d0b0,1721827073,1726122183
Vasili Shynkarenka,https://vasilishynkarenka.com/,"Entrepreneur, writer. Prev: Storyline (YC W18). Working towards Tomorrowland.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660644780845-image.png?width=75&height=75&resize=contain,False,['productivity'],1319,True,,False,4055493,False,,,,#15171A,en,1319,8,True,ddb7e8e5-e499-4354-84d7-ff51c0dd9c97,1660644782,1694012759
