Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Skeptic,https://www.skeptic.com/,Popular Science. Nonpartisan. Reality-Based.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1740924411331-skeptic_favi_transparent.png?width=75&height=75&resize=contain,False,['science'],46496,True,,False,-37637,False,,,,#E72B01,en,46496,27,True,f989559e-429d-405c-a114-308cb86818b7,1740573310,1741900593
Mohammad Badhruddouza Khan,https://buffyhridoy.digitalpress.blog/,I’m 4th Biomedical Engineering Student at Khulna University of Engineering & Technology. I have been working on Machine Learning for 3 years and Data Analysis for 1 years.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673799997356-buffy%20pic.jpg?width=75&height=75&resize=contain,False,['science'],39013,True,0,True,10960987,False,,,,#FF1A75,en,39013,11,True,0d45cf3f-c755-4507-b5ea-22dcddacc1c6,1673799998,1673796023
Omic.ly,https://www.omic.ly/,A weekly email newsletter on omics and clinical laboratory diagnostics.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1721176371922-500x500.png?width=75&height=75&resize=contain,False,['science'],1002,True,726,True,58773311,False,,,,#30ae7e,en,8264.5,2,True,341e5706-3ae5-4877-a0cb-3244b764a0a9,1701636823,1741691574
Jatan’s Space,https://jatan.space/,"Exploring space and our Moon, for science and a better future for humanity. Blog of Jatan Mehta, a globally published independent space writer, author of Moon Monday, and invited speaker.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1708875001339-jatan-moon-transparent-icon.png?width=75&height=75&resize=contain,False,['science'],6008,True,,False,1453157,False,,,,#111111,en,6008,64,True,4952cc90-cfac-4578-96c5-6f8ab02b02f4,1708875004,1741962215
Josh Universe,https://joshuniverse.com/,"Josh Universe is an analog astronaut, science communicator, biohacker, and CEO of Astrochain.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1731391185987-pfp.jpeg?width=75&height=75&resize=contain,False,['science'],1722,True,10,True,10498181,False,,,,#704630,en,1822,0,True,471ac267-9236-490a-aada-76c9132e593b,1731391187,1731380560
John Hawks,https://johnhawks.net/,Exploring the science of human origins,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671495464086-Asset-7@2x.png?width=75&height=75&resize=contain,False,['science'],1354,True,0,True,18982,False,,,,#d95000,en,1354,4,True,ab46deec-5e7d-4fc7-b49e-4fe4f2b6ceba,1671495467,1741800109
goodthink labs,https://www.goodthinklabs.com/,"answering important questions like, ""what happens if you drop 5 GPS trackers into the Gulf of Mexico?"" [hint: one ends up in Minnesota]",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1718819045145-1-1.jpg?width=75&height=75&resize=contain,False,['science'],553,True,5,True,115769872,False,,,,#0077b5,en,604.3,5,True,68cb58b7-9706-47d4-a52d-10d10a113ecb,1718819046,1739569424
All Coronaviruses Are Bastards,https://allcoronavirusesarebastards.digitalpress.blog/,"Blog über COVID-19, Long Covid und andere medizinische Themen",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1703687814829-acab.jpg?width=75&height=75&resize=contain,False,['science'],483,True,,False,12464776,False,,,,#22ad83,de,483,3,True,250d8265-4254-4d56-adcb-fdc00d020abf,1703431911,1741198942
Train Canine,https://www.traincanine.com/,"We're changing the way people think about dog training. Train Canine is the leading source of dog training content for dedicated dog owners, established animal trainers, and dog behavior consultants.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671235200082-slack-team-icon-copy.png?width=75&height=75&resize=contain,False,['science'],391,True,,False,98647441,False,,,,#459cb1,en,391,4,True,e58e5e01-cb17-486a-9b1d-cb95e972231d,1671235203,1732739079
Othram Research,https://research.othram.com/,Building a better infrastructure for justice.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1736714778869-apple-touch-icon.png?width=75&height=75&resize=contain,False,['science'],264,True,0,True,30987459,False,,,,#a700fe,en,264,0,True,40a3eb3b-7d52-4f81-bc37-34109005d4a8,1736714779,1736542835
Happy Daze,https://happydaze.io/,"A brighter world, one story at a time.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1719967162843-android-chrome-192x192.png?width=75&height=75&resize=contain,False,['science'],243,True,,False,4466201,False,,,,#FF1A75,en,243,0,True,09857a3e-8c9a-457e-98cd-cbe4016885bb,1663123119,1741596657
The Frog Pond,https://thefrogpond.cloverlore.com/,"Deep dives into niche nature topics, from giant ancient shrimps to subterranean forests to funky fungi, plus publishing updates. From Sarah L. Hawthorn, SFFH author & research rabbit hole follower.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1722540869720-frog%20(1).png?width=75&height=75&resize=contain,False,['science'],141,True,,False,111360538,False,,,,#6dcaae,en,141,19,True,882c61d6-c83b-4720-830a-027ea09ac154,1706030964,1738753225
Deviations,https://deviations.ghost.io/,"Science, art, media, and the data that describe our world. An experimental newsletter by Michael Greshko.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1732721490557-Deviations-Icon-Square-1.png?width=75&height=75&resize=contain,False,['science'],90,True,,False,10499905,False,,,,#13a591,en,90,0,True,96414e0d-ebb0-40c7-965f-e6f6cf8cbbfe,1732721492,1731517255
Planenerd,https://planenerd.com/,"Learn about aviation, from the history of flight to the latest innovations, in commercial and military aviation.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700692880959-planenerd-favicon-01.png?width=75&height=75&resize=contain,False,['science'],89,True,,False,4481313,False,,,,#0033f8,en,89,2,False,84e1442a-4829-463a-915a-59dbac95ae4d,1660167490,1741806684
WeatherHawks,https://www.weatherhawks.com/,"Weather for Enthusiasts, by Enthusiasts.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1699228752343-weatherhawks_W_webbar.png?width=75&height=75&resize=contain,False,['science'],88,True,,False,101840138,False,,,,#a30000,en,88,9,True,ec686ad7-5c13-44b5-a8f9-24b379094ad9,1699228753,1724275044
Front Matter Blog,https://blog.front-matter.io/,Blog about the intersection of science and technology.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660755168882-apple-touch-icon.png?width=75&height=75&resize=contain,False,['science'],84,True,,False,1221691,False,,,,#38a169,en,84,0,True,f5355670-67d6-42ea-8af7-5d8327a86c39,1660755171,1741628357
Cosmic Nxws,https://www.cosmicnxws.com/,"An aerospace and STEM news site that publishes articles, videos and other content, about the latest developments in aerospace engineering, aviation, space exploration, and other STEM-related fields.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1724028614896-Untitled%20design%20(11).png?width=75&height=75&resize=contain,False,['science'],59,True,,False,76091483,False,,,,#cf81fe,en,59,0,True,4f7c8c05-7fe6-4a55-bbea-bcccb789ee8e,1724028616,1724007852
Moon & Beyond | Blog,https://tckb.ghost.io/,"Explore Chandrayaan, Chang'e, NASA's LRO, and other current and future Lunar missions with me. I cover extensive analysis of these missions that aren't available and published elsewhere.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1718614654810-mb-logo-3.png?width=75&height=75&resize=contain,False,['science'],43,True,0,True,46295236,False,,,,#010101,"en, hi",43,8,True,1024ecc9-1786-4223-b117-305572949a07,1710234357,1737010848
Techhistorian,https://techhistorian.com/,We create content that teaches you about the history of technology. Learn about the technology that has shaped our world.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700693037091-techhistorian-favicon-green.png?width=75&height=75&resize=contain,False,['science'],38,True,,False,389918,False,,,,#20bf6b,en,38,3,False,5878a458-c3ac-4841-9e90-aed38f2a8923,1663506003,1732134741
Reasoning Report,https://www.connectingcells.com/,"Subscribe to the Reasoning Report, the newsletter of the blog Connecting Cells, for a monthly interview with cognitive scientists studying human reasoning.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676899521291-cluster-data-icon.png?width=75&height=75&resize=contain,False,['science'],38,True,,False,13221553,False,,,,#cb6262,en,38,1,True,7532be94-590b-49bb-8072-41359a421e1c,1676899522,1739829420
"Greg Forcey PhD, CWB®",https://www.gregforcey.com/,"Wildlife, renewable energy, and technology",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1695579734134-tree_site_icon.png?width=75&height=75&resize=contain,False,['science'],29,True,,False,23738738,False,,,,#d58400,en,29,9,False,9017c162-ae7d-4116-9308-30f02efedeee,1695579735,1735218032
Psychohistoria,https://www.psychohistoria.org/,Understanding the past. Predicting the future.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1728318473280-cog-2.png?width=75&height=75&resize=contain,False,['science'],20,True,0,True,10499979,False,,,,#000000,en,20,1,True,923d6b1d-f5a8-4779-955f-a1eeb7c4fa9a,1727353463,1740826023
Passione Funghi - Il portale 3BMeteo dedicato ai Funghi,https://funghi.3bmeteo.com/,"Dedicato a tutti gli appassionati della Natura, interessati a funghi e micologia",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1721050167813-3BMETEO_logoVerticale_bianco-su-fondo-blu-300-Dpi.png?width=75&height=75&resize=contain,False,['science'],17,True,,False,10499982,False,,,,#1461a1,it,17,0,True,5babbfa1-90fb-4215-8753-92546c4a4bb1,1721050169,1721027018
dr. heap,https://www.drheap.nl/,Discover the foundations of computer science.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1721490978044-Android.png?width=75&height=75&resize=contain,False,['science'],16,True,,False,388828176,False,,,,#064C33,en,16,0,False,07ccc26c-2770-4c02-a0e8-313dafc6e474,1721490980,1719662400
The Quantum Distillery,https://the-quantum-distillery.ghost.io/,Quantum Biology - The Quantum Basis of Life,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1719035823932-Favicon-1.jpg?width=75&height=75&resize=contain,False,['science'],14,True,0,True,11499985,False,,,,#1c8fa3,en,14,0,True,5d7d1273-c2fd-4beb-bc9b-819459880148,1719035825,1718924818
Weed Garden Blog,https://blog.weed-garden.com/,"Grow Management App: Built for Growers, by Growers",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1726265108897-image-1.png?width=75&height=75&resize=contain,False,['science'],9,True,,False,10499990,False,,,,#0cb07e,en,9,0,True,3a4a78bf-630b-4914-b40f-34c7a1a69fb9,1726265110,1726260878
