Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Blueshirt Banter,https://www.blueshirtbanter.com/,"New York Rangers Schedule, Roster, News, and Rumors | Blueshirt Banter",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1680309273491-bsb_logo-1.png?width=75&height=75&resize=contain,False,['sport & fitness'],2788,True,2K,True,138981,False,,,,#bd1115,en,25794.6,15,True,56c83b6d-08c6-4c0c-b6d2-854187be7242,1680309274,1752066047
TFC REPUBLIC,https://www.tfcrepublic.ca/,"In-depth coverage and analysis of all things Toronto FC, Canada's original Major League Soccer club.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1690759306989-mb.jpeg?width=75&height=75&resize=contain,False,['sport & fitness'],1271,True,2K,True,4081807,False,,,,#b00707,en,17382.16128,61,True,0a24fa82-3943-42fb-9322-3122749f8b89,1660077213,1751999016
SixOneFive Soccer,https://www.sixonefivesoccer.com/,Nashville's independent soccer news,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1738037315477-Speedway-Site.png?width=75&height=75&resize=contain,False,['sport & fitness'],539,True,1K,True,7801717,False,,,,#399cdb,en,15269.9,155,True,4a32ae14-278d-4f00-a74a-a0276aa09425,1738037316,1752067930
SCOUTED,https://scoutedftbl.com/,"The future of football, discovered",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1741191785360-scouted-black-square-3.png?width=75&height=75&resize=contain,False,['sport & fitness'],13377,True,,False,447724,False,,,,#e762bc,en,13377,0,True,b417999e-e778-444d-85ef-02a5bfc17a3e,1741191786,1741033760
The Ice Garden,https://www.theicegarden.com/,"Women's Hockey News, Rumors and Analysis",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1677774771162-TIG_LOGO_Rebranded.png?width=75&height=75&resize=contain,False,['sport & fitness'],688,True,1K,True,132878,False,,,,#65c4c8,en,12136.2,41,True,28486514-0717-46c8-b97e-1d3daec70b61,1677726340,1752073213
JiuJitsu Magazine,https://www.jiujitsumag.com/,The online magazine for those who love jiu-jitsu. Now available online and everywhere! Subscribe today! #BJJ #KnowYourRoll #KnowYourRoll.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1730410553994-jjmag_app_icon.png?width=75&height=75&resize=contain,False,['sport & fitness'],11031,True,,False,3981001,False,,,,#de0f0f,en,11031,2,True,d098ae51-fb8c-4a68-b630-bce7ae7d72f5,1730329098,1751062229
Maine Basketball Rankings,https://www.mainebasketballrankings.com/,The most comprehensive coverage of Maine High School Basketball anywhere.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1669909459484-maine-basketball-rankings-logo-small.png?width=75&height=75&resize=contain,False,['sport & fitness'],1216,True,930,True,174790959,False,,,,#ee6730,en,10516,0,True,3e75d4eb-b76d-4739-a34e-346249b1256c,1667222741,1750930857
Pointless Exercise,https://www.pointlessexercise.com/,The only newsletter you'll ever need...(about the Cubs and the Bears and all kinds of other cool stuff.),https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1739745171680-pointless-500x500.jpg?width=75&height=75&resize=contain,False,['sport & fitness'],709,True,944,True,277160661,False,,,,#197eb4,en,10151.5,0,True,8e22f035-68a8-4a67-be0c-31cd0ff0283f,1739745172,1739730619
Poorly Drawn Arsenal,https://www.poorlydrawnarsenal.com/,I have questionable artistic skills and a love of Arsenal. Here is where I combine the two.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1716290770623-xwiKVP2V_400x400.jpg?width=75&height=75&resize=contain,False,['sport & fitness'],9818,True,,False,27828610,False,,,,#f44c4c,en,9818,2,True,70b1081e-2c55-468a-b954-e642b4ebb727,1716290772,1751886010
Big D Soccer,https://www.bigdsoccer.com/,"We provide all the latest FC Dallas news, opinions, and coverage throughout the day.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1729772222393-Big_D_Soccer_minimal-2.svg?width=75&height=75&resize=contain,False,['sport & fitness'],964,True,520,True,231160,False,,,,#e01f2e,en,6163.700000000001,104,True,dcc07fcf-aaaa-4f6d-889b-b15f1d60b143,1729772223,1752012993
